"Period","Passenger_type","Direction","Country","Count"
201503,"Overseas visitor","Arrival","Taiwan",2992
201503,"Overseas visitor","Arrival","Tanzania",16
201503,"Overseas visitor","Arrival","Thailand",2368
201503,"Overseas visitor","Arrival","Timor-Leste",16
201503,"Overseas visitor","Arrival","Tokelau",16
201503,"Overseas visitor","Arrival","Tonga",1520
201503,"Overseas visitor","Arrival","Trinidad and Tobago",16
201503,"Overseas visitor","Arrival","Tunisia",16
201503,"Overseas visitor","Arrival","Turkey",112
201503,"Overseas visitor","Arrival","Tuvalu",32
201503,"Overseas visitor","Arrival","Uganda",16
201503,"Overseas visitor","Arrival","Ukraine",32
201503,"Overseas visitor","Arrival","United Arab Emirates",992
201503,"Overseas visitor","Arrival","United Kingdom",22496
201503,"Overseas visitor","Arrival","United States of America",26880
201503,"Overseas visitor","Arrival","Uruguay",416
201503,"Overseas visitor","Arrival","Vanuatu",656
201503,"Overseas visitor","Arrival","Venezuela",16
201503,"Overseas visitor","Arrival","Viet Nam",272
201503,"Overseas visitor","Arrival","Wallis and Futuna",32
201503,"Overseas visitor","Arrival","Zimbabwe",80
201503,"Overseas visitor","Departure","Afghanistan",26
201503,"Overseas visitor","Departure","Andorra",52
201503,"Overseas visitor","Departure","Argentina",598
201503,"Overseas visitor","Departure","Australia",119444
201503,"Overseas visitor","Departure","Austria",1092
201503,"Overseas visitor","Departure","Bahrain",26
201503,"Overseas visitor","Departure","Bangladesh",416
201503,"Overseas visitor","Departure","Barbados",52
201503,"Overseas visitor","Departure","Belarus",52
201503,"Overseas visitor","Departure","Belgium",1040
201503,"Overseas visitor","Departure","Bermuda",26
201503,"Overseas visitor","Departure","Botswana",26
201503,"Overseas visitor","Departure","Brazil",806
201503,"Overseas visitor","Departure","Brunei Darussalam",104
201503,"Overseas visitor","Departure","Bulgaria",26
201503,"Overseas visitor","Departure","Cambodia",52
201503,"Overseas visitor","Departure","Canada",8398
201503,"Overseas visitor","Departure","Chile",702
201503,"Overseas visitor","Departure","China, People's Republic of",40482
201503,"Overseas visitor","Departure","Colombia",104
201503,"Overseas visitor","Departure","Cook Islands",806
201503,"Overseas visitor","Departure","Croatia",52
201503,"Overseas visitor","Departure","Curacao",26
201503,"Overseas visitor","Departure","Cyprus",52
201503,"Overseas visitor","Departure","Czech Republic",468
201503,"Overseas visitor","Departure","Denmark",1690
201503,"Overseas visitor","Departure","Estonia",130
201503,"Overseas visitor","Departure","Fiji",1898
201503,"Overseas visitor","Departure","Finland",598
201503,"Overseas visitor","Departure","France",4940
201503,"Overseas visitor","Departure","French Polynesia",1690
201503,"Overseas visitor","Departure","Germany",13858
201503,"Overseas visitor","Departure","Gibraltar",26
201503,"Overseas visitor","Departure","Guam",26
201503,"Overseas visitor","Departure","Hong Kong (Special Administrative Region)",3406
201503,"Overseas visitor","Departure","Hungary",260
201503,"Overseas visitor","Departure","India",5668
201503,"Overseas visitor","Departure","Indonesia",858
201503,"Overseas visitor","Departure","Iran",130
